,full_state,bill_name,legiscan_summary
0,Mississippi,SB2765,"An Act Entitled The ""mississippi Families' Rights And Responsibilities Act""; To Provide Definitions; To Provide That All Parental Rights Are Exclusively Reserved To A Parent Of A Child Without Interference From The State Or Political Subdivision Of The State; To Provide That The Local School Board In Consultation With Parents And Teachers Shall Develop And Adopt A Policy To Promote The Involvement Of Parents Of Children Enrolled In The Public Schools; To Require Public Schools To Adopt Procedures To Ensure That A Parent Provides Written Permission Before Their Child Participates In Identity Curriculum Or Critical Theory Curriculum And Allow Parents To Exempt Their Child From Any Specific Lessons That Are Objectionable To The Family; To Require Parental Consent For Medical And Mental Health Care; To Provide A Cause Of Action For Violations Of This Act; To Provide Rules Of Construction; To Amend Section 37-13-9, Mississippi Code Of 1972, In Conformity; To Bring Forward Sections 41-41-3, 41-41-7 And 41-41-11, Mississippi Code Of 1972, Relating To Implied Consent For Medical Procedures On Minors; And For Related Purposes."
0,Mississippi,SB2076,An Act To Enact The Title Ix Preservation Act; To Provide Interpretation And Clarification Of Certain Terms Relating To Title Ix Of The Federal Code; To State Legislative Intent; To Clarify Terms For The Purposes Of State Law; To Provide That Policies And Laws That Distinguish Between The Sexes Are Subject To Intermediate Constitutional Scrutiny; To Require The State Or A Local Governmental Entity To Disaggregate The Data Of Individuals By Sex Based On The Biological Sex Of Individuals At Birth When The State Or Local Governmental Entity Gathers The Data Of Individuals That Is Disaggregated By Sex; And For Related Purposes.
0,Mississippi,HB509,"An Act To Establish The ""families' Rights And Responsibilities Act Of 2023""; To Define Terminology Used Herein; To Establish That A Parent's Liberty To Direct The Upbringing, Education, Health Care And Mental Health Of His Or Her Child Is A Fundamental Right; To Prohibit The State Or Any Political Subdivision Thereof From Substantially Burdening A Parent's Fundamental Right Without Demonstrating That The Burden Is Required By A Compelling Governmental Interest; To Provide That All Parental Rights Are Exclusively Reserved To A Parent Of A Child Without Obstruction By Or Interference From The State Or Any Political Subdivision Thereof; To Provide That Abuse Or Neglect Of A Child By A Parent Or The Action Or Decision Of A Parent That Would End Life Are Not Authorized By This Act; To Prohibit Employees Of This State And Any Political Subdivision Thereof, Except For Law Enforcement Personnel, From Encouraging Or Coercing A Child To Withhold Information From The Child's Parent; To Further Prohibit Such Employees From Withholding Information That Is Relevant To A Child's Physical, Emotional Or Mental Health From A Child's Parent; To Require The Board Of Education Of A School District To Develop And Adopt A Policy To Promote The Involvement Of Parents Of Children Enrolled In The District's Schools; To Prescribe The Minimum Requirement Procedures To Be Addressed By The Policy; To Provide The Board Of Education Of A School District With The Discretion To Adopt A Policy To Provide To Parents The Information In An Electronic Form; To Require Parents To Submit A Written Or Electronic Request For The Child's Information To The School Principal Or The Superintendent Of The School District; To Require The School Principal Or Superintendent To Provide The Requested Information To The Parents Within Ten Days Of Receiving The Request, Or Submit To The Parent A Written Explanation Of The Reasons For The Denial Of The Requested Information; To Prescribe The Process By Which A Parent May Submit A Formal Consideration Of The Request Of Information With The School Board If The Requested Information Is Not Received 15 Days After Submitting The Initial Request; To Stipulate The Limitations Placed Upon Persons, Corporations, Associations, Organizations, State Supported Institutions Or Individuals Employed By Any Of These Entities To Provide Any Medical Or Mental Health Service Or Procedure On A Child Without First Obtaining The Consent Of The Child's Parent, Except As Otherwise Provided By Law Or Court Order; To Prescribe Exceptions To The Limitation When Parental Consent Is Not Capable Of Being Given Or In Emergency Situations When Imminent Bodily Harm Or Death Could Result; To Specify The Manner By Which Parental Consent Must Be Verified If Telemedicine Is Provided; To Establish A Cause Of Action For Violation Of This Act; To Provide That This Act Shall Serve As A Defense To Any Cause Of Action That Is Raised As A Result Of A Violation Thereof; To Provide That The Rules Of Construction Shall Provide Broad Protection Of A Parent's Fundamental Rights As Inalienable Unless Those Rights Have Been Legally Waived Or Legally Terminated; To Amend Section 37-3-49, Mississippi Code Of 1972, To Provide The Parent Of Each Public School Student With The Right To Receive Effective Communication From The School Principal As To The Manner In Which Instructional Materials Are Used To Implement The School's Curricular Objectives; To Amend Section 37-13-173, Mississippi Code Of 1972, To Provide Parents The Authority To Opt Their Children Out Of Any Instruction Of The School District's Comprehensive Health Education Relating To Sex Education Upon Submitting A Written Request To The School Principal; To Amend Section 37-15-3, Mississippi Code Of 1972, To Provide That Student And Parental Rights To Education Records Created, Maintained, Or Used By Public Educational Institutions And Agencies Shall Be Protected; To Stipulate That Students And Their Parents Maintain The Right To Access The Student's Educational Records, Waive Access To Such Records, Challenge The Content Of Such Records, Privacy Of Such Records And To Receive Annual Notice Of The Rights To Such Records; To Bring Forward Sections 37-7-301, 37-13-171 And 43-21-105, Mississippi Code Of 1972, For Purposes Of Possible Amendments; And For Related Purposes."
0,Mississippi,SB2773,An Act To Enact The Defense Of Title Ix Act; To Provide Interpretation And Clarification Of Certain Terms Relating To Title Ix Of The Federal Code; To State Legislative Findings And Intent; To Clarify Terms For The Purposes Of State Law; To Provide That Policies And Laws That Distinguish Between The Sexes Are Subject To Intermediate Constitutional Scrutiny; And For Related Purposes.
0,Mississippi,HB1144,"An Act To Create The Title Ix Preservation Act; To State Legislative Intent; To Provide Interpretation And Clarification Of Certain Terms Relating To Title Ix Of The Federal Code; To Clarify Terms For The Purposes Of State Law; To Provide That Policies And Laws That Distinguish Between The Sexes Are Subject To Intermediate Constitutional Scrutiny; To Require Any Public School, School District, State Or Local Agency, Department, Or Office That Collects Vital Statistics For The Purpose Of Complying With Anti-discrimination Laws Or For The Purpose Of Gathering Accurate Public Health, Crime, Economic Or Other Data To Identify Each Individual Who Is Part Of The Collected Data Set As Either Male Or Female At Birth; And For Related Purposes."
0,Mississippi,SB2058,"An Act To Amend Section 37-9-79, Mississippi Code Of 1972, To Delete The Provision That Required Professional School Counselors To Abide By The American School Counselor Association Code Of Ethics; And For Related Purposes."
0,Mississippi,SB2820,"An Act Entitled The ""transparency In Education Act""; To Provide Parents Of Public School Students Certain Rights Related To Their Child's Education, Including The Right To Review A Syllabus, Curriculum And Teacher-training Materials And Meet With The Teacher To Discuss Course Content; To Require Public Schools To Adopt Procedures To Ensure That A Parent Provides Written Permission Before Their Child Participates In Identity Curriculum Or Critical Theory Curriculum And Allow Parents To Exempt Their Child From Any Specific Lessons That Are Objectionable To The Family; To Direct Public Schools To Hold A Curriculum Night To Allow Parents To Review The Curriculum And Meet With Teachers And Staff; To Provide Parental Access To Certain School District Records Concerning Their Child; To Provide Complaint Procedures; To Amend Section 37-13-9, Mississippi Code Of 1972, In Conformity; And For Related Purposes."
0,Mississippi,SB2764,"An Act To Provide That The Local School Board Of Every Public School District And Public Charter School Shall Adopt A Procedure For Notifying The Parent Of A Student Enrolled In The School Regarding Mental, Emotional And Physical Health Of The Student And Available Health-related Services; To Provide For Parental Consent For Such Services; To Authorize Student Well-being Questionnaires; To Prohibit School Personnel From Providing Or Allowing A Third Party To Provide Instruction Regarding Sexual Orientation Or Gender Identity To Students Enrolled In K-12 In A Manner That Is Not Age Or Developmentally Appropriate; To Amend Section 37-9-59, Mississippi Code Of 1972; To Authorize Dismissal Or Suspension For A Certified Teacher Who Does Not Comply With The Provisions Of This Act Relating To Sexual Orientation Or Gender Identity; And For Related Purposes."
0,Mississippi,HB1074,"An Act To Enact The Title Ix Preservation Act; To Provide Interpretation And Clarification Of Certain Terms Relating To Title Ix Of The Federal Code; To State Legislative Intent; To Clarify Terms For The Purposes Of State Law; To Provide That Policies And Laws That Distinguish Between The Sexes Are Subject To Intermediate Constitutional Scrutiny; To Require Any Public School, School District, State Or Local Agency, Department Or Office That Collects Vital Statistics For The Purpose Of Complying With Anti-discrimination Laws Or For The Purpose Of Gathering Accurate Public Health, Crime, Economic Or Other Data To Identify Each Individual Who Is Part Of The Collected Data Set As Either Male Or Female At Birth; And For Related Purposes."
0,Mississippi,HB1489,"An Act To Establish The ""families' Rights And Responsibilities Act Of 2023""; To Define Terminology Used Herein; To Establish That A Parent's Liberty To Direct The Upbringing, Education, Health Care And Mental Health Of His Or Her Child Is A Fundamental Right; To Prohibit The State Or Any Political Subdivision Thereof From Substantially Burdening A Parent's Fundamental Right Without Demonstrating That The Burden Is Required By A Compelling Governmental Interest; To Provide That All Parental Rights Are Exclusively Reserved To A Parent Of A Child Without Obstruction By Or Interference From The State Or Any Political Subdivision Thereof; To Provide That Abuse Or Neglect Of A Child By A Parent Or The Action Or Decision Of A Parent That Would End Life Are Not Authorized By This Act; To Prohibit Employees Of This State And Any Political Subdivision Thereof, Except For Law Enforcement Personnel, From Encouraging Or Coercing A Child To Withhold Information From The Child's Parent; To Further Prohibit Such Employees From Withholding Information That Is Relevant To A Child's Physical, Emotional Or Mental Health From A Child's Parent; To Require The Board Of Education Of A School District To Develop And Adopt A Policy To Promote The Involvement Of Parents Of Children Enrolled In The District's Schools; To Prescribe The Minimum Requirement Procedures To Be Addressed By The Policy; To Provide The Board Of Education Of A School District With The Discretion To Adopt A Policy To Provide To Parents The Information In An Electronic Form; To Require Parents To Submit A Written Or Electronic Request For The Child's Information To The School Principal Or The Superintendent Of The School District; To Require The School Principal Or Superintendent To Provide The Requested Information To The Parents Within Ten Days Of Receiving The Request, Or Submit To The Parent A Written Explanation Of The Reasons For The Denial Of The Requested Information; To Prescribe The Process By Which A Parent May Submit A Formal Consideration Of The Request Of Information With The School Board If The Requested Information Is Not Received 15 Days After Submitting The Initial Request; To Stipulate The Limitations Placed Upon Persons, Corporations, Associations, Organizations, State Supported Institutions Or Individuals Employed By Any Of These Entities To Provide Any Medical Or Mental Health Service Or Procedure On A Child Without First Obtaining The Consent Of The Child's Parent, Except As Otherwise Provided By Law Or Court Order; To Prescribe Exceptions To The Limitation When Parental Consent Is Not Capable Of Being Given Or In Emergency Situations When Imminent Bodily Harm Or Death Could Result; To Specify The Manner By Which Parental Consent Must Be Verified If Telemedicine Is Provided; To Establish A Cause Of Action For Violation Of This Act; To Provide That This Act Shall Serve As A Defense To Any Cause Of Action That Is Raised As A Result Of A Violation Thereof; To Provide That The Rules Of Construction Shall Provide Broad Protection Of A Parent's Fundamental Rights As Inalienable Unless Those Rights Have Been Legally Waived Or Legally Terminated; To Provide For Severability If Any Part Of This Act Is Held Invalid; To Amend Section 37-3-49, Mississippi Code Of 1972, To Provide The Parent Of Each Public School Student With The Right To Receive Effective Communication From The School Principal As To The Manner In Which Instructional Materials Are Used To Implement The School's Curricular Objectives; To Amend Section 37-13-173, Mississippi Code Of 1972, To Provide Parents The Authority To Opt Their Children Out Of Any Instruction Of The School District's Comprehensive Health Education Relating To Sex Education Upon Submitting A Written Request To The School Principal; To Amend Section 37-15-3, Mississippi Code Of 1972, To Provide That Student And Parental Rights To Education Records Created, Maintained, Or Used By Public Educational Institutions And Agencies Shall Be Protected; To Stipulate That Students And Their Parents Maintain The Right To Access The Student's Educational Records, Waive Access To Such Records, Challenge The Content Of Such Records, Privacy Of Such Records And To Receive Annual Notice Of The Rights To Such Records; To Bring Forward Section 43-21-105, Mississippi Code Of 1972, For The Purpose Of Possible Amendment; And For Related Purposes."
0,Mississippi,HB1476,"An Act To Establish The ""families' Rights And Responsibilities Act Of 2023""; To Define Terminology Used Herein; To Establish That A Parent's Liberty To Direct The Upbringing, Education, Health Care And Mental Health Of His Or Her Child Is A Fundamental Right; To Prohibit The State Or Any Political Subdivision Thereof From Substantially Burdening A Parent's Fundamental Right Without Demonstrating That The Burden Is Required By A Compelling Governmental Interest; To Provide That All Parental Rights Are Exclusively Reserved To A Parent Of A Child Without Obstruction By Or Interference From The State Or Any Political Subdivision Thereof; To Provide That Abuse Or Neglect Of A Child By A Parent Or The Action Or Decision Of A Parent That Would End Life Are Not Authorized By This Act; To Prohibit Employees Of This State And Any Political Subdivision Thereof, Except For Law Enforcement Personnel, From Encouraging Or Coercing A Child To Withhold Information From The Child's Parent; To Further Prohibit Such Employees From Withholding Information That Is Relevant To A Child's Physical, Emotional Or Mental Health From A Child's Parent; To Require The Board Of Education Of A School District To Develop And Adopt A Policy To Promote The Involvement Of Parents Of Children Enrolled In The District's Schools; To Prescribe The Minimum Requirement Procedures To Be Addressed By The Policy; To Provide The Board Of Education Of A School District With The Discretion To Adopt A Policy To Provide To Parents The Information In An Electronic Form; To Require Parents To Submit A Written Or Electronic Request For The Child's Information To The School Principal Or The Superintendent Of The School District; To Require The School Principal Or Superintendent To Provide The Requested Information To The Parents Within Ten Days Of Receiving The Request, Or Submit To The Parent A Written Explanation Of The Reasons For The Denial Of The Requested Information; To Prescribe The Process By Which A Parent May Submit A Formal Consideration Of The Request Of Information With The School Board If The Requested Information Is Not Received 15 Days After Submitting The Initial Request; To Stipulate The Limitations Placed Upon Persons, Corporations, Associations, Organizations, State Supported Institutions Or Individuals Employed By Any Of These Entities To Provide Any Medical Or Mental Health Service Or Procedure On A Child Without First Obtaining The Consent Of The Child's Parent, Except As Otherwise Provided By Law Or Court Order; To Prescribe Exceptions To The Limitation When Parental Consent Is Not Capable Of Being Given Or In Emergency Situations When Imminent Bodily Harm Or Death Could Result; To Specify The Manner By Which Parental Consent Must Be Verified If Telemedicine Is Provided; To Establish A Cause Of Action For Violation Of This Act; To Provide That This Act Shall Serve As A Defense To Any Cause Of Action That Is Raised As A Result Of A Violation Thereof; To Provide That The Rules Of Construction Shall Provide Broad Protection Of A Parent's Fundamental Rights As Inalienable Unless Those Rights Have Been Legally Waived Or Legally Terminated; To Amend Section 37-3-49, Mississippi Code Of 1972, To Provide The Parent Of Each Public School Student With The Right To Receive Effective Communication From The School Principal As To The Manner In Which Instructional Materials Are Used To Implement The School's Curricular Objectives; To Amend Section 37-13-173, Mississippi Code Of 1972, To Provide Parents The Authority To Opt Their Children Out Of Any Instruction Of The School District's Comprehensive Health Education Relating To Sex Education Upon Submitting A Written Request To The School Principal; To Amend Section 37-15-3, Mississippi Code Of 1972, To Provide That Student And Parental Rights To Education Records Created, Maintained, Or Used By Public Educational Institutions And Agencies Shall Be Protected; To Stipulate That Students And Their Parents Maintain The Right To Access The Student's Educational Records, Waive Access To Such Records, Challenge The Content Of Such Records, Privacy Of Such Records And To Receive Annual Notice Of The Rights To Such Records; To Bring Forward Sections 37-7-301, 37-13-171 And 43-21-105, Mississippi Code Of 1972, For Purposes Of Possible Amendments; And For Related Purposes."
0,Mississippi,HB1480,"An Act To Establish The ""parents' Bill Of Rights Act Of 2023""; To Define Terminology Used Herein; To Establish That A Parent's Liberty To Direct The Upbringing, Education, Health Care And Mental Health Of His Or Her Child Is A Fundamental Right; To Prohibit The State Or Any Political Subdivision Thereof From Substantially Burdening A Parent's Fundamental Right Without Demonstrating That The Burden Is Required By A Compelling Governmental Interest; To Provide That All Parental Rights Are Exclusively Reserved To A Parent Of A Child Without Obstruction By Or Interference From The State Or Any Political Subdivision Thereof; To Provide That Abuse Or Neglect Of A Child By A Parent Or The Action Or Decision Of A Parent That Would End Life Are Not Authorized By This Act; To Prohibit Employees Of This State And Any Political Subdivision Thereof, Except For Law Enforcement Personnel, From Encouraging Or Coercing A Child To Withhold Information From The Child's Parent; To Further Prohibit Such Employees From Withholding Information That Is Relevant To A Child's Physical, Emotional Or Mental Health From A Child's Parent; To Require The Board Of Education Of A School District To Develop And Adopt A Policy To Promote The Involvement Of Parents Of Children Enrolled In The District's Schools; To Prescribe The Minimum Requirement Procedures To Be Addressed By The Policy; To Provide The Board Of Education Of A School District With The Discretion To Adopt A Policy To Provide To Parents The Information In An Electronic Form; To Require Parents To Submit A Written Or Electronic Request For The Child's Information To The School Principal Or The Superintendent Of The School District; To Require The School Principal Or Superintendent To Provide The Requested Information To The Parents Within Ten Days Of Receiving The Request, Or Submit To The Parent A Written Explanation Of The Reasons For The Denial Of The Requested Information; To Prescribe The Process By Which A Parent May Submit A Formal Consideration Of The Request Of Information With The School Board If The Requested Information Is Not Received Five Days After Submitting The Initial Request; To Establish A Cause Of Action For Violation Of This Act; To Provide That This Act Shall Serve As A Defense To Any Cause Of Action That Is Raised As A Result Of A Violation Thereof; To Provide That The Rules Of Construction Shall Provide Broad Protection Of A Parent's Fundamental Rights As Inalienable Unless Those Rights Have Been Legally Waived Or Legally Terminated; To Amend Section 37-3-49, Mississippi Code Of 1972, To Provide The Parent Of Each Public School Student With The Right To Receive Effective Communication From The School Principal As To The Manner In Which Instructional Materials Are Used To Implement The School's Curricular Objectives; To Amend Section 37-13-173, Mississippi Code Of 1972, To Provide Parents The Authority To Opt Their Children Out Of Any Instruction Of The School District's Comprehensive Health Education Relating To Sex Education Upon Submitting A Written Request To The School Principal; To Amend Section 37-15-3, Mississippi Code Of 1972, To Provide That Student And Parental Rights To Education Records Created, Maintained, Or Used By Public Educational Institutions And Agencies Shall Be Protected; To Stipulate That Students And Their Parents Maintain The Right To Access The Student's Educational Records, Waive Access To Such Records, Challenge The Content Of Such Records, Privacy Of Such Records And To Receive Annual Notice Of The Rights To Such Records; To Bring Forward Sections 37-7-301, 37-13-171 And 43-21-105, Mississippi Code Of 1972, For Purposes Of Possible Amendments; And For Related Purposes."
0,Mississippi,HB1124,"An Act To Be Known As The Mississippi Help Not Harm Act; To Create New Section 11-77-1, Mississippi Code Of 1972, To Define Terms; To Create New Section 11-77-3, Mississippi Code Of 1972, To Prohibit Any Person From Knowingly Performing Or Providing Gender Reassignment Surgery Or Services To A Minor; To Provide That Any Licensed Medical Professional Who Performs Or Provides Gender Reassignment Surgery Or Services To A Minor Shall Have His Or Her License Revoked; To Provide A Private Cause Of Action Against A Physician, Osteopath, Hospital, Prescribing Caregiver, Clinic And Any Other Health Care Facility For Injuries Arising Out Of The Course Of Medical, Surgical Or Other Professional Services Related To The Performance Of Gender Reassignment Surgery Or Services; To Provide That This Claim Must Be Brought Within Thirty Years From The Date That The Alleged Act Occurred; To Authorize The Attorney General To Bring An Action To Enforce Compliance With This Section; To Provide That This Section Does Not Apply To Certain Services, Treatments And Procedures; To Amend Section 73-25-29, Mississippi Code Of 1972, To Conform To The Provisions Of This Act; To Amend Section 73-25-33, Mississippi Code Of 1972, To Revise The Definition Of The Practice Of Medicine To Exclude Gender Reassignment Surgery Or Services For Minors; To Amend Section 11-46-5, Mississippi Code Of 1972, To Provide That Under The Tort Claims Act An Employee Shall Not Be Considered As Acting Within The Course And Scope Of His Or Her Employment And A Governmental Entity May Be Liable Or Be Considered To Have Waived Immunity For Any Conduct Of Its Employee If The Employee's Conduct Violated The Provisions Of This Act; To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Any Entity For Part Or All Of The Costs Of Care And Services Rendered For Gender Reassignment Surgery Or Services; To Create New Section 83-9-401, Mississippi Code Of 1972, To Prohibit Health Coverage Plans That Are Funded Wholly Or In Part By State Funds Or State-employee Contributions From Reimbursing Or Authorizing Payment Of Part Or All Of The Costs Of Care And Services Rendered By Any Entity For Gender Reassignment Surgery Or Services; To Amend Section 11-1-60, Mississippi Code Of 1972, To Provide That In Any Cause Of Action Filed On Or After July 1, 2023, For A Claim Brought Under Section 11-77-3, If The Trier Of Fact Finds The Defendant Liable, There Shall Not Be A Limitation Placed On The Noneconomic Damages Award That A Trier Of Fact May Award To The Plaintiff; And For Related Purposes."
0,Mississippi,SB2760,"An Act To Enact The Mississippi Help Not Harm Act; To Create New Section 11-77-1, Mississippi Code Of 1972, To Define Terms; To Create New Section 11-77-3, Mississippi Code Of 1972, To Prohibit Any Person From Knowingly Performing Or Providing Gender Reassignment Surgery Or Services To A Minor; To Prohibit Any Person From Knowingly Engaging In Conduct That Aids Or Abets In Gender Reassignment Surgery Or Services Being Performed On Or Provided To A Minor; To Provide That Any Licensed Medical Professional, Including, But Not Limited To, A Physician, Osteopath, Physician Assistant, Nurse Practitioner Or Nurse Who Performs Or Provides Gender Reassignment Surgery Or Services To A Minor Shall Have Their License Revoked; To Provide A Private Cause Of Action Against A Physician, Osteopath, Hospital, Prescribing Caregiver, Clinic Or Any Other Health Care Facility For Injuries Arising Out Of The Course Of Medical, Surgical Or Other Professional Services Related To The Performance Of Gender Reassignment Surgery Or Services; To Provide That This Claim Must Be Brought Within 30 Years From The Date The Alleged Act Occurred; To Provide That The Attorney General May Bring An Action To Enforce Compliance With The Act; To Provide Certain Exceptions Of The Act; To Amend Section 73-25-29, Mississippi Code Of 1972, To Conform To The Provisions Of This Act; To Amend Section 73-25-33, Mississippi Code Of 1972, To Revise Physician's Scope Of Practice To Provide That The Practice Of Medicine Shall Not Mean To Knowingly Provide Gender Reassignment Surgery Or Services For Minors; To Amend Section 11-46-5, Mississippi Code Of 1972, To Establish That An Employee Shall Not Be Considered As Acting Within The Course And Scope Of His Employment And A Governmental Entity May Be Liable Or Be Considered To Have Waived Immunity For Any Conduct Of Its Employee If The Employee's Conduct Violated The Provisions Of This Act; To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Any Entity For Part Or All Of The Costs Of Care And Services Rendered For Gender Reassignment Surgery Or Services; To Create New Section 83-9-401, Mississippi Code Of 1972, To Prohibit Health Coverage Plans That Are Funded Wholly Or In Part By State Funds Or State-employee Contributions From Reimbursing Or Authorizing Payment Of Part Or All Of The Costs Of Care And Services Rendered By Any Entity For Gender Reassignment Surgery Or Services; To Amend Section 11-1-60, Mississippi Code Of 1972, To Provide That In Any Cause Of Action Filed On Or After July 1, 2023, For A Claim Brought Under Section 11-77-3, In The Event The Trier Of Fact Finds The Defendant Liable, There Shall Not Be A Limitation Placed On The Noneconomic Damages Award That A Trier Of Fact May Award To The Plaintiff; And For Related Purposes."
0,Mississippi,SB2770,An Act To Prohibit Gender Reassignment Surgery From Being Performed Upon A Minor; To State Legislative Intent; To Define Terms; To Criminalize Any Person That Performs A Gender Reassignment Surgery Upon A Minor For The Purpose Of Assisting A Minor With A Gender Transition; To Provide Criminal Penalties; To Provide That The Performance Of A Gender Reassignment Surgery Upon A Minor By A Medical Professional Shall Be Unprofessional Conduct; To Require A Medical Professional's Licensing Or Certifying Board To Revoke The Licensure Of The Medical Professional If It Was Determined That A Gender Reassignment Surgery Was Performed Upon A Minor; To Provide A Civil Penalty For Any Medical Professional Who Performs A Gender Reassignment Surgery Upon A Minor; To Provide A Good-faith Exception For A Minor Born With A Medically Verifiable Genetic Disorder Of Sexual Development; To Provide A Private Cause Of Action For Violations Of This Act; To Provide That The Provisions Of This Act Are Severable; And For Related Purposes.
0,Mississippi,HB1126,"An Act To Restrict Transgender Medical Procedures For Any Person Under Twenty-one Years Of Age; To Provide Definitions For The Act; To Prohibit The Administration Of Or The Assistance In The Administration Of Cross Sex Hormones Or Puberty Blocking Drugs; To Prohibit The Performance Of Gender Reassignment Surgery; To Prohibit Physicians And Other Health Care Professionals From Providing Gender Transition Procedures Or Gender Reassignment Surgery To Any Person Under Twenty-one Years Of Age; To Prohibit Physicians And Other Health Care Professionals From Referring Any Person Under A Certain Age To Any Health Care Professional For Gender Transition Or Gender Reassignment Procedures; To Prohibit Parents, Guardians Or Persons Responsible For The Care Of A Person Under A Certain Age From Consenting To Or Providing Puberty-blocking Drugs, Cross Sex Hormones; To Provide Certain Exceptions To Those Prohibitions; To Amend Section 97-5-39, Mississippi Code Of 1972, To Include Violations Of This Act In The Penalties For Child Abuse; To Amend Section 43-21-105, Mississippi Code Of 1972, To Revise The Definition Of Child Abuse To Include Violation Of This Act; To Amend Section 97-5-51, Mississippi Code Of 1972, To Require Mandatory Reporting Of Persons Who Violate The Provisions Of This Act; To Prohibit The Direct Or Indirect Use, Grant, Payment Or Distribution Of Public Funds To Any Entity, Organization Or Individual That Provides Gender Transition Procedures To A Person Under Twenty-one Years Of Age; To Provide That Health Care Services Furnished In A State Or Locally-owned Health Care Facility Or By A Physician Or Other Health Care Professional Employed By The State Or Local Government Shall Not Include Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Provide That Amounts Paid During A Taxable Year For Provision Of Gender Transition Procedures Or As Premiums For Health Care Coverage That Includes Coverage For Gender Transition Procedures Are Not Deductible Under The State Income Tax Laws; To Provide That Any Referral For Or Provision Of Gender Transition Procedures To A Person Under Twenty-one Years Of Age By A Physician Or Other Health Care Professional Is Unprofessional Conduct And Is Subject To Discipline By The Appropriate Licensing Entity For The Health Care Professional; To Authorize The Attorney General To Bring An Action To Enforce Compliance With This Act; To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Or Providing Coverage For Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Amend Section 83-9-22, Mississippi Code Of 1972, To Provide That Health Coverage Plans Are Not Required To Include Gender Transition Procedures; To Create New Section 83-9-37, Mississippi Code Of 1972, To Provide That A Health Benefit Plan Under An Insurance Policy Or Other Plan Providing Health Care Coverage Shall Not Include Reimbursement For Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Amend Sections 27-7-17, 73-15-29 And 73-25-29, Mississippi Code Of 1972, To Conform To The Provisions Of This Act; To Amend Section 11-46-5, Mississippi Code Of 1972, To Exclude From Tort Immunity Violations Of This Act; To Amend Section 11-1-60, Mississippi Code Of 1972, To Exclude Violation Of This Act From Limits On Noneconomic Damages; And For Related Purposes."
0,Mississippi,HB1258,"An Act To Prohibit The Administration Of Or The Assistance In The Administration Of Cross Sex Hormones Or Puberty Blocking Drugs For Persons Under Twenty-one Years Of Age; To Prohibit The Performance Of Gender Reassignment Surgery; To Prohibit Physicians And Other Health Care Professionals From Providing Gender Transition Procedures Or Gender Reassignment Surgery To Any Person Under Twenty-one Years Of Age; To Prohibit Physicians And Other Health Care Professionals From Referring Any Person Under A Certain Age To Any Health Care Professional For Gender Transition Or Gender Reassignment Procedures; To Prohibit Parents, Guardians Or Persons Responsible For The Care Of A Person Under A Certain Age From Consenting To Or Providing Puberty-blocking Drugs, Cross Sex Hormones; To Provide For Certain Exceptions To Those Prohibitions; To Amend Section 97-5-39, Mississippi Code Of 1972, To Include Violations Of This Act In The Penalties For Child Abuse; To Amend Section 43-21-105, Mississippi Code Of 1972, To Revise The Definition Of Child Abuse To Include Violation Of This Act; To Amend Section 97-5-51, Mississippi Code Of 1972, To Require Mandatory Reporting Of Persons Who Violate The Provisions Of This Act; To Prohibit The Direct Or Indirect Use, Grant, Payment Or Distribution Of Public Funds To Any Entity, Organization Or Individual That Provides Gender Transition Procedures To A Person Under Twenty-one Years Of Age; To Provide That Health Care Services Furnished In A State Or Locally-owned Health Care Facility Or By A Physician Or Other Health Care Professional Employed By The State Or Local Government Shall Not Include Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Provide That Amounts Paid During A Taxable Year For Provision Of Gender Transition Procedures Or As Premiums For Health Care Coverage That Includes Coverage For Gender Transition Procedures Are Not Deductible Under The State Income Tax Laws; To Provide That Any Referral For Or Provision Of Gender Transition Procedures To A Person Under Twenty-one Years Of Age By A Physician Or Other Health Care Professional Is Unprofessional Conduct And Is Subject To Discipline By The Appropriate Licensing Entity For The Health Care Professional; To Authorize The Attorney General To Bring An Action To Enforce Compliance With This Act; To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Or Providing Coverage For Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Amend Section 83-9-22, Mississippi Code Of 1972, To Provide That Gender Transition Procedures For Persons Under Twenty-one Are Not Required In Health Coverage Plans; To Create New Section 83-9-37, Mississippi Code Of 1972, To Provide That A Health Benefit Plan Under An Insurance Policy Or Other Plan Providing Health Care Coverage Shall Not Include Reimbursement For Gender Transition Procedures For A Person Under Twenty-one Years Of Age; To Amend Sections 27-7-17, 73-15-29 And 73-25-29, Mississippi Code Of 1972, To Conform To The Provisions Of This Act; And For Related Purposes."
0,Mississippi,SB2883,"An Act To Amend Section 97-5-39, Mississippi Code Of 1972, To Criminalize The Sterilization Or Facilitation Of The Sterilization Of A Child Chemically Or Physically As Felonious Child Abuse; And For Related Purposes."
